12,27,363,24,364,85,12,87
453,165,610,163,610,187,454,189
298,198,498,202,498,229,297,224
377,332,561,330,561,353,377,356
241,267,426,263,426,285,241,289
107,266,230,261,230,284,107,288
257,878,371,877,371,905,257,906
537,267,662,265,663,287,537,289
52,503,138,502,139,522,52,524
106,649,219,647,220,669,106,672
340,383,449,382,450,406,340,408
291,432,420,433,419,461,290,459
526,611,620,609,620,631,527,632
51,1017,144,1017,143,1044,51,1044
53,536,149,534,149,555,53,557
238,298,355,296,356,317,239,320
52,435,139,435,139,456,52,457
514,298,630,300,629,323,514,321
467,232,546,234,545,258,466,256
52,571,137,570,137,593,52,595
157,1260,229,1259,229,1282,158,1283
546,932,619,930,620,953,547,954
555,745,616,744,616,766,555,768
236,932,343,931,343,952,236,953
548,970,621,969,622,993,548,994
99,1103,199,1101,200,1124,99,1125
461,1261,528,1259,529,1285,462,1287
545,835,620,833,620,861,546,862
244,468,359,469,359,491,244,490
453,266,525,264,525,286,453,288
352,931,425,929,425,959,353,960
313,235,401,233,402,253,313,255
565,1021,620,1020,621,1041,565,1043
364,570,469,571,469,595,364,594
614,1102,680,1101,680,1126,615,1127
565,882,620,880,620,902,566,904
225,234,294,232,294,254,225,255
81,740,173,741,173,771,81,770
393,610,455,609,455,631,394,632
49,970,109,969,109,991,50,992
353,836,425,835,425,863,354,864
352,743,422,742,422,768,352,769
368,467,462,466,463,491,368,493
399,690,450,688,450,713,400,715
249,501,308,501,308,522,249,523
190,201,289,201,288,228,190,227
506,203,575,202,575,227,506,228
118,204,176,202,176,225,119,227
52,610,108,610,108,631,52,631
174,932,228,931,228,952,174,953
391,1105,477,1104,477,1123,391,1124
54,471,109,470,109,489,54,489
632,1149,680,1149,681,1170,633,1171
286,837,344,838,344,859,285,859
50,649,93,648,94,668,50,669
293,788,338,788,338,810,293,810
338,608,385,608,385,631,337,630
566,787,620,786,621,811,566,812
482,1102,546,1101,546,1126,482,1126
408,235,455,234,456,254,408,255
548,691,618,692,618,714,548,713
245,572,322,570,323,594,246,595
379,879,422,878,423,904,379,905
285,744,342,742,342,766,286,767
472,468,506,468,506,489,473,490
571,1107,605,1105,606,1124,572,1125
261,330,307,331,307,355,261,354
148,571,203,571,203,594,148,594
233,838,275,838,275,859,233,859
588,202,656,201,656,228,588,228
240,1262,288,1261,288,1282,240,1282
49,1105,88,1104,89,1122,50,1123
495,1150,549,1148,550,1169,496,1171
205,331,250,331,250,352,205,352
247,610,295,611,294,636,247,635
117,611,184,613,184,632,117,630
134,299,172,298,173,319,135,320
147,435,182,435,182,457,148,457
327,1104,380,1104,379,1123,327,1122
303,1261,379,1262,379,1283,302,1282
385,1261,452,1262,452,1283,385,1282
122,931,162,931,161,952,122,952
157,536,192,535,193,556,157,557
326,572,357,571,358,593,327,594
114,1150,153,1149,153,1168,114,1169
472,572,505,571,506,594,473,595
197,300,228,299,229,319,198,321
629,695,662,695,661,716,629,715
470,300,507,300,507,319,470,319
279,384,333,385,332,407,279,406
247,437,280,436,281,457,248,457
320,331,351,331,351,351,321,352
149,502,182,502,182,523,149,523
384,789,423,790,422,810,384,809
407,302,458,301,459,319,408,320
46,1150,78,1150,78,1169,47,1169
354,788,374,788,374,811,355,811
87,1150,106,1149,107,1167,88,1167
